fix_id,name,description,selection_score_dev,dev_n,dev_combined_precision,dev_combined_recall,dev_combined_f1,dev_combined_oapr,dev_combined_fp,dev_combined_fn,dev_screen_image_precision,dev_screen_image_recall,dev_screen_image_fn,dev_screen_box_hit,dev_screen_box_miss,dev_text_image_precision,dev_text_image_recall,dev_text_image_fp,dev_text_image_fn,dev_unique_screen_presence_miss_images,test_n,test_combined_precision,test_combined_recall,test_combined_f1,test_combined_oapr,test_combined_fp,test_combined_fn,test_screen_image_precision,test_screen_image_recall,test_screen_image_fn,test_screen_box_hit,test_screen_box_miss,test_text_image_precision,test_text_image_recall,test_text_image_fp,test_text_image_fn,test_unique_screen_presence_miss_images
0,baseline_locked,Locked CRAFT4k + YOLO11 union predictions (current canonical).,0.27838970695685117,175,0.7785234899328859,0.9830508474576272,0.8689138576779026,0.9340638642602219,33,2,0.8217821782178217,0.9325842696629213,6,65,32,0.27350427350427353,0.9411764705882353,85,2,6,75,0.8333333333333334,0.9803921568627451,0.9009009009009009,0.9458134605193429,10,1,0.8461538461538461,0.868421052631579,5,27,15,0.2708333333333333,0.8666666666666667,35,2,5
1,S_text_cluster_screen_hyp_strict,If no YOLO screen: dense lower-half text cluster (≥8) → hypothesized screen; strip text inside; force screen route.,0.3586144260579747,175,0.7785234899328859,0.9830508474576272,0.8689138576779026,0.9340638642602219,33,2,0.7727272727272727,0.9550561797752809,4,66,31,0.2672413793103448,0.9117647058823529,85,3,4,75,0.8333333333333334,0.9803921568627451,0.9009009009009009,0.9458134605193429,10,1,0.782608695652174,0.9473684210526315,2,28,14,0.2765957446808511,0.8666666666666667,34,2,2
2,S_text_cluster_screen_hyp_recall,"Looser hypothesis: ≥5 text cluster, lower-half optional if cluster dense, only if no YOLO screen.",0.40372678560853653,175,0.7785234899328859,0.9830508474576272,0.8689138576779026,0.9340638642602219,33,2,0.7350427350427351,0.9662921348314607,3,66,31,0.26956521739130435,0.9117647058823529,84,3,3,75,0.8333333333333334,0.9803921568627451,0.9009009009009009,0.9458134605193429,10,1,0.7872340425531915,0.9736842105263158,1,28,14,0.2765957446808511,0.8666666666666667,34,2,1
3,S_hyp_always_dense_cluster,Add text-cluster hypotheses even when YOLO already has screens (union).,0.3636144260579747,175,0.7785234899328859,0.9830508474576272,0.8689138576779026,0.9340638642602219,33,2,0.7657657657657657,0.9550561797752809,4,66,31,0.2631578947368421,0.8823529411764706,84,4,4,75,0.8333333333333334,0.9803921568627451,0.9009009009009009,0.9458134605193429,10,1,0.782608695652174,0.9473684210526315,2,28,14,0.2826086956521739,0.8666666666666667,33,2,2
4,S_yolo_conf010_union,Union base screens with YOLO11-1280 conf0.10 pass.,0.3650492418720044,175,0.740506329113924,0.9915254237288136,0.8478260869565216,0.9304986800742516,41,1,0.7142857142857143,0.9550561797752809,4,66,31,0.2782608695652174,0.9411764705882353,83,2,4,75,0.8064516129032258,0.9803921568627451,0.8849557522123893,0.9391390013042042,12,1,0.7777777777777778,0.9210526315789473,3,27,15,0.2826086956521739,0.8666666666666667,33,2,3
5,S_bottom_half_tta,Union base screens with bottom-half crop YOLO11-1280 conf0.10.,0.40765809640707984,175,0.75,0.9915254237288136,0.8540145985401459,0.9329951750587653,39,1,0.7226890756302521,0.9662921348314607,3,68,29,0.2782608695652174,0.9411764705882353,83,2,3,75,0.819672131147541,0.9803921568627451,0.8928571428571428,0.942436400789824,11,1,0.7906976744186046,0.8947368421052632,4,27,15,0.2727272727272727,0.8,32,3,4
6,S_yolo010_plus_hyp,YOLO conf0.10 union + strict text-cluster hyp when still empty.,0.4051616014225662,175,0.740506329113924,0.9915254237288136,0.8478260869565216,0.9304986800742516,41,1,0.6771653543307087,0.9662921348314607,3,66,31,0.2719298245614035,0.9117647058823529,83,3,3,75,0.8064516129032258,0.9803921568627451,0.8849557522123893,0.9391390013042042,12,1,0.7346938775510204,0.9473684210526315,2,27,15,0.2826086956521739,0.8666666666666667,33,2,2
7,S_bottom_tta_plus_hyp,Bottom-half TTA union + text-cluster hyp when still empty.,0.4477704559576417,175,0.75,0.9915254237288136,0.8540145985401459,0.9329951750587653,39,1,0.6850393700787402,0.9775280898876404,2,68,29,0.2719298245614035,0.9117647058823529,83,3,2,75,0.819672131147541,0.9803921568627451,0.8928571428571428,0.942436400789824,11,1,0.7346938775510204,0.9473684210526315,2,27,15,0.2727272727272727,0.8,32,3,2
8,S_full_stack_screen,Base ∪ conf010 ∪ bottom TTA ∪ hyp-if-empty (screen stack).,0.5372102263696842,175,0.7421383647798742,1.0,0.851985559566787,0.9372102263696842,41,0,0.664179104477612,1.0,0,69,28,0.2743362831858407,0.9117647058823529,82,3,0,75,0.7936507936507936,0.9803921568627451,0.8771929824561403,0.9359182269398987,13,1,0.7058823529411765,0.9473684210526315,2,27,15,0.2727272727272727,0.8,32,3,2
9,T_text_presence_gate_count2,Text presence requires ≥2 boxes (routing/redaction text channel); keep base screens.,0.40937065278628776,175,0.8188405797101449,0.9576271186440678,0.8828125,0.9250448100896586,25,5,0.8217821782178217,0.9325842696629213,6,65,32,0.3372093023255814,0.8529411764705882,57,5,6,75,0.9038461538461539,0.9215686274509803,0.9126213592233009,0.9175595630335779,5,4,0.8461538461538461,0.868421052631579,5,27,15,0.3548387096774194,0.7333333333333333,20,4,5
